time_s,x_filtered,y_filtered,z_filtered,vx,vy,vz,ax,ay,az,speed_norm_m_s,acc_norm_m_s2
0.000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.000979,0.000000003,0.000000004,0.000000016,0.000008738,0.000013137,0.000048553,0.017579496,0.026428801,0.097680364,0.000051052,0.102708197
0.001959,0.000000022,0.000000034,0.000000125,0.000033917,0.000050990,0.000188457,0.033584709,0.050490844,0.186613233,0.000198158,0.196218645
0.002938,0.000000074,0.000000112,0.000000412,0.000074017,0.000111277,0.000411277,0.048063344,0.072257849,0.267063682,0.000432446,0.280810064
0.003917,0.000000172,0.000000258,0.000000955,0.000127569,0.000191785,0.000708835,0.061063107,0.091801535,0.339296787,0.000745320,0.356761173
0.004896,0.000000328,0.000000493,0.000001822,0.000193146,0.000290373,0.001073214,0.072631704,0.109193623,0.403577623,0.001128455,0.424350692
0.005876,0.000000554,0.000000832,0.000003076,0.000269371,0.000404968,0.001496756,0.082816839,0.124505832,0.460171267,0.001573798,0.483857341
0.006855,0.000000859,0.000001291,0.000004771,0.000354911,0.000533570,0.001972064,0.091666219,0.137809882,0.509342794,0.002073570,0.535559839
0.007834,0.000001251,0.000001881,0.000006953,0.000448484,0.000674245,0.002491998,0.099227550,0.149177494,0.551357279,0.002620267,0.579736906
0.008814,0.000001739,0.000002615,0.000009664,0.000548850,0.000825134,0.003049680,0.105548535,0.158680388,0.586479798,0.003206654,0.616667262
0.009793,0.000002328,0.000003500,0.000012936,0.000654818,0.000984445,0.003638490,0.110676882,0.166390282,0.614975426,0.003825771,0.646629626
0.010772,0.000003023,0.000004545,0.000016798,0.000765243,0.001150457,0.004252068,0.114660296,0.172378898,0.637109240,0.004470932,0.669902718
0.011751,0.000003828,0.000005755,0.000021270,0.000879028,0.001321520,0.004884315,0.117546482,0.176717955,0.653146315,0.005135722,0.686765258
0.012731,0.000004746,0.000007134,0.000026368,0.000995122,0.001496055,0.005529390,0.119383146,0.179479173,0.663351726,0.005814001,0.697495965
0.013710,0.000005777,0.000008686,0.000032102,0.001112520,0.001672549,0.006181712,0.120217993,0.180734272,0.667990549,0.006499899,0.702373559
0.014689,0.000006925,0.000010410,0.000038476,0.001230265,0.001849565,0.006835958,0.120098729,0.180554972,0.667327860,0.007187821,0.701676760
0.015668,0.000008187,0.000012308,0.000045490,0.001347445,0.002025732,0.007487069,0.119073060,0.179012993,0.661628734,0.007872445,0.695684287
0.016648,0.000009563,0.000014377,0.000053137,0.001463196,0.002199751,0.008130240,0.117188690,0.176180055,0.651158248,0.008548722,0.684674860
0.017627,0.000011052,0.000016615,0.000061409,0.001576701,0.002370393,0.008760929,0.114493326,0.172127878,0.636181475,0.009211875,0.668927199
0.018606,0.000012650,0.000019018,0.000070291,0.001687189,0.002536499,0.009374854,0.111034674,0.166928182,0.616963493,0.009857399,0.648720023
0.019586,0.000014355,0.000021581,0.000079764,0.001793935,0.002696981,0.009967991,0.106860438,0.160652686,0.593769377,0.010481066,0.624332053
0.020565,0.000016162,0.000024298,0.000089806,0.001896263,0.002850819,0.010536575,0.102018324,0.153373111,0.566864202,0.011078917,0.596042006
0.021544,0.000018067,0.000027162,0.000100391,0.001993542,0.002997067,0.011077103,0.096556039,0.145161177,0.536513044,0.011647267,0.564128605
0.022523,0.000020065,0.000030165,0.000111491,0.002085187,0.003134845,0.011586329,0.090521286,0.136088604,0.502980979,0.012182704,0.528870567
0.023503,0.000022149,0.000033299,0.000123072,0.002170662,0.003263347,0.012061269,0.083961773,0.126227111,0.466533082,0.012682090,0.490546613
0.024482,0.000024314,0.000036554,0.000135101,0.002249475,0.003381834,0.012499196,0.076925204,0.115648418,0.427434429,0.013142559,0.449435462
0.025461,0.000026553,0.000039919,0.000147540,0.002321184,0.003489640,0.012897646,0.069459285,0.104424246,0.385950095,0.013561517,0.405815834
0.026441,0.000028858,0.000043385,0.000160348,0.002385391,0.003586168,0.013254410,0.061611721,0.092626314,0.342345156,0.013936645,0.359966449
0.027420,0.000031222,0.000046939,0.000173485,0.002441745,0.003670890,0.013567543,0.053430219,0.080326343,0.296884688,0.014265896,0.312166026
0.028399,0.000033637,0.000050570,0.000186906,0.002489944,0.003743351,0.013835357,0.044962483,0.067596052,0.249833767,0.014547495,0.262693285
0.029378,0.000036096,0.000054266,0.000200567,0.002529729,0.003803164,0.014056424,0.036256220,0.054507161,0.201457467,0.014779941,0.211826946
