time_s,x,y,z,vx,vy,vz,ax,ay,az,displacement_norm_m,speed_norm_m_s,acc_norm_m_s2
0.000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.000979,-0.000000000,0.000000021,0.000000014,-0.000000463,0.000063758,0.000042165,-0.000932032,0.128269945,0.084829590,0.000000025,0.000076441,0.153785912
0.001959,-0.000000001,0.000000164,0.000000108,-0.000001798,0.000247475,0.000163664,-0.001780599,0.245053029,0.162062501,0.000000197,0.000296703,0.293799952
0.002938,-0.000000004,0.000000541,0.000000358,-0.000003924,0.000540072,0.000357170,-0.002548229,0.350697338,0.231928934,0.000000649,0.000647506,0.420459448
0.003917,-0.000000009,0.000001254,0.000000829,-0.000006763,0.000930814,0.000615581,-0.003237453,0.445550961,0.294659093,0.000001503,0.001115975,0.534181730
0.004896,-0.000000017,0.000002393,0.000001583,-0.000010240,0.001409301,0.000932022,-0.003850798,0.529961983,0.350483179,0.000002869,0.001689645,0.635384128
0.005876,-0.000000029,0.000004039,0.000002671,-0.000014282,0.001965480,0.001299844,-0.004390795,0.604278491,0.399631395,0.000004843,0.002356461,0.724483972
0.006855,-0.000000046,0.000006265,0.000004143,-0.000018817,0.002589635,0.001712620,-0.004859973,0.668848572,0.442333943,0.000007511,0.003104775,0.801898590
0.007834,-0.000000066,0.000009130,0.000006038,-0.000023778,0.003272392,0.002164152,-0.005260861,0.724020312,0.478821026,0.000010947,0.003923349,0.868045312
0.008814,-0.000000092,0.000012690,0.000008392,-0.000029099,0.004004717,0.002648465,-0.005595988,0.770141798,0.509322846,0.000015214,0.004801351,0.923341467
0.009793,-0.000000123,0.000016987,0.000011234,-0.000034717,0.004777919,0.003159812,-0.005867883,0.807561117,0.534069606,0.000020366,0.005728362,0.968204386
0.010772,-0.000000160,0.000022058,0.000014588,-0.000040572,0.005583646,0.003692669,-0.006079076,0.836626355,0.553291508,0.000026446,0.006694367,1.003051398
0.011751,-0.000000203,0.000027931,0.000018472,-0.000046604,0.006413888,0.004241738,-0.006232096,0.857685600,0.567218754,0.000033487,0.007689764,1.028299831
0.012731,-0.000000252,0.000034626,0.000022899,-0.000052760,0.007260974,0.004801947,-0.006329473,0.871086938,0.576081547,0.000041514,0.008705356,1.044367016
0.013710,-0.000000306,0.000042155,0.000027879,-0.000058984,0.008117576,0.005368449,-0.006373735,0.877178455,0.580110089,0.000050541,0.009732357,1.051670282
0.014689,-0.000000367,0.000050525,0.000033414,-0.000065226,0.008976707,0.005936624,-0.006367412,0.876308238,0.579534583,0.000060576,0.010762389,1.050626958
0.015668,-0.000000434,0.000059735,0.000039505,-0.000071439,0.009831719,0.006502074,-0.006313033,0.868824374,0.574585231,0.000071618,0.011787483,1.041654374
0.016648,-0.000000507,0.000069778,0.000046147,-0.000077576,0.010676305,0.007060630,-0.006213127,0.855074950,0.565492236,0.000083659,0.012800079,1.025169860
0.017627,-0.000000586,0.000080640,0.000053330,-0.000083594,0.011504502,0.007608346,-0.006070224,0.835408052,0.552485799,0.000096681,0.013793023,1.001590744
0.018606,-0.000000671,0.000092303,0.000061043,-0.000089452,0.012310683,0.008141504,-0.005886853,0.810171767,0.535796124,0.000110664,0.014759573,0.971334357
0.019586,-0.000000761,0.000104742,0.000069270,-0.000095111,0.013089566,0.008656607,-0.005665542,0.779714182,0.515653413,0.000125578,0.015693395,0.934818028
0.020565,-0.000000857,0.000117929,0.000077991,-0.000100536,0.013836209,0.009150389,-0.005408822,0.744383383,0.492287867,0.000141388,0.016588562,0.892459086
0.021544,-0.000000958,0.000131829,0.000087184,-0.000105694,0.014546008,0.009619805,-0.005119222,0.704527457,0.465929691,0.000158054,0.017439558,0.844674861
0.022523,-0.000001064,0.000146405,0.000096823,-0.000110553,0.015214704,0.010062038,-0.004799271,0.660494491,0.436809085,0.000175528,0.018241273,0.791882682
